                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1929,                 1.0686,                 1.1527,                   0.96,                0.93587,                0.96149,                0.61434,                      0,                    inf,                      0,               0.070026,              0.0033305,              0.0033305
                      1,                  1.167,                0.67817,                 1.1431,                0.97354,                0.92609,                0.96031,                0.64327,                      0,                    inf,                      0,               0.039366,              0.0060041,              0.0060041
                      2,                 1.1777,                 0.6724,                 1.1697,                0.95435,                 0.9087,                0.94734,                0.64398,                      0,                    inf,                      0,              0.0080465,              0.0080177,              0.0080177
                      3,                 1.1702,                0.63878,                 1.1827,                0.98339,                0.93299,                0.96795,                0.65491,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                      4,                 1.1478,                0.59301,                 1.1775,                0.97178,                0.93098,                0.96347,                0.64541,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                      5,                 1.1241,                0.55073,                 1.1688,                0.98237,                0.94076,                 0.9723,                0.67743,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                      6,                 1.1006,                0.51444,                 1.1584,                0.98282,                0.94348,                0.97042,                0.65898,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                      7,                 1.0824,                0.48843,                 1.1427,                0.98584,                0.94607,                 0.9762,                0.68819,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                      8,                 1.0617,                0.45965,                 1.1318,                0.97976,                 0.9587,                0.98027,                0.69798,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                      9,                 1.0435,                0.43589,                 1.1168,                 0.9828,                0.95489,                0.98314,                0.70444,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
